courseCode,courseName,hub(s),prereqs,credit
COM EM 700,Introduction to Emerging Media Studies,None,None,4
COM EM 747,Trending Insights: Social Data Analysis and Visualization,None,None,4
COM EM 755,Measuring Media Effects,None,None,4
COM EM 757,User-Producers 2.0: Developing Interactivity,None,None,4
COM EM 777,Masters Collaboratory Project,None,None,4
COM EM 793,Psychology of Emerging Media,None,None,4
COM EM 797,"Connecting Humans: Networks, History and Social Media",None,None,4
COM EM 808,Upper-level Seminar,None,None,2
COM EM 831,"Critical Studies, History and Philosophy of Emerging Media",None,None,4
COM EM 847,"Time, Place & Social Data: Advanced Issues in Large Scale Analysis & Visualization",None,None,4
COM EM 855,Computer-Assisted Text Analysis,None,None,4
COM EM 861,Special Topics,None,None,4
COM EM 888,Doctoral Collaboratory Project,None,None,4
COM EM 889,Advanced Issues in Emerging Media Content Production,None,None,4
COM EM 901,Independent Study,None,None,Var
COM EM 902,Directed Study Emerging Media,None,None,4
COM EM 909,THESIS PROJECT,None,None,Var
COM EM 911,EMS INTERNSHIP,None,None,Var
COM EM 993,Thesis Research,None,None,4
