Course Code,Course Name,Course Description,Hub Units,Prerequisites,Credits,link
COM FT 201,"Screen Language: The Aesthetics, Grammar and Rhetoric of the Moving Image","In this course, students study and practice the art and craft of expressing    themselves persuasively through audio-visual media. The aim is both to    familiarize students with the conventions of screen language and to test the    validity of those norms. Effective Fall 2018, this course fulfills a single  unit  in each of the  following BU Hub areas: Digital/Multimedia Expression,   Creativity/Innovation.", Digital/Multimedia Expression Creativity/Innovation,None,4,https://www.bu.edu//academics/com/courses/com-ft-201/
COM FT 250,Understanding Film,"Understanding Film introduces students to key aesthetic aspects of film.  Students study a variety of historical and contemporary examples of fiction  and nonfiction films that illustrate the expressive possibilities of image  and sound. Students learn to analyze, explain and write about these formal  elements. Effective Fall 2019, this course fulfills a single unit in each of  the following BU Hub areas: Aesthetic Exploration, Critical Thinking.", Aesthetic Exploration Critical Thinking,None,4,https://www.bu.edu//academics/com/courses/com-ft-250/
COM FT 303,Understanding Television,"This course examines television (and its foundation in radio) as it emerged,  stabilized as an aesthetic and technological form, interacted with other  media, was regulated and deregulated, and was shaped by and shaped the  culture around it. We will use the sitcom and soap opera genres as aesthetic  through-lines for this study and examine their evolution in historical  contexts. Throughout the semester, we focus on broadcasting's beginnings,  expansion, establishment as the national, mass medium in America, and  eventual fracturing into niches. Effective Fall 2019, this course fulfills a  single unit in each of the following BU Hub areas: Aesthetic Exploration,  Historical Consciousness, Critical Thinking.", Aesthetic Exploration Historical Consciousness Critical Thinking,None,4,https://www.bu.edu//academics/com/courses/com-ft-303/
COM FT 304,Film Industry,"A survey of current business trends in the motion picture industry. Focuses on script development; studio structure; agents, attorneys, and contracts; independent filmmaking; and distribution. ",None,COM FT 250.,4,https://www.bu.edu//academics/com/courses/com-ft-304/
COM FT 310,Storytelling for Film & Television,"An introduction to the art and craft of storytelling through the moving image.   Particular emphasis will be given to writing short scripts. Topics covered   include character development and narrative structure as it applies to shorts,   features and episodic television. Effective Fall 2018, this course fulfills a  single unit in each of  the following BU Hub areas: Writing-Intensive Course,  Creativity/Innovation.", Creativity/Innovation Writing-Intensive Course,"First Year Writing Seminar (e.g., WR 100 or WR 120).",4,https://www.bu.edu//academics/com/courses/com-ft-310/
COM FT 325,Creative Producing I,"This course takes students through the process of creating non-fiction TV  programming. Think talk shows, reality programs, and documentaries. How to  create a concept, write a proposal, cast a program, and develop a marketing  reason to do the program. It's all part and parcel of being a creative  producer.",None,COM FT 303.,4,https://www.bu.edu//academics/com/courses/com-ft-325/
COM FT 353,Production I F1,"An intensive course in all the fundamental aspects of motion picture  production.  Students learn to use cameras, sound recording equipment and  editing software and  then apply these skills to several short productions. The  course emphasizes the  language of visual storytelling and the creative  interplay of sound and image. ",None,COM FT 201; with a grade of B- or higher,4,https://www.bu.edu//academics/com/courses/com-ft-353/
COM FT 401,Romantic Comedies and Melodramas,"This class will view and discuss romantic comedies and domestic melodramas made in  Hollywood in the 1930's and 1940's.  these films were some of the most popular and  culturally significant of their time, involving many of the era's best  screenwriters and directors and most prominent stars.  The films set standards for  dialogue writing, rich characterization, film performance and story structure.",None,COM FT 250.,4,https://www.bu.edu//academics/com/courses/com-ft-401/
COM FT 402,Production II,"Intermediate motion picture production with an emphasis on narrative  storytelling, high definition cinematography, sync-sound location recording,  and multi-track editing. Students develop, produce, direct, shoot, record and  edit medium-length productions that are of film festival quality, and which   can be incorporated into highlight and demo reels.  Effective Fall 2020, this  course fulfills a single unit in each of the following BU Hub areas: Oral  and/or Signed Communication, Teamwork/Collaboration.", Oral and/or Signed Communication Teamwork/Collaboration,FT353 with a grade of B- or higher and one of the following: FT502 orFT508 or FT526 or FT565 or FT592 or FT 593,4,https://www.bu.edu//academics/com/courses/com-ft-402/
COM FT 404,Asian Cinema,"This course studies the astonishing artistic flowering of contemporary East Asian  film, focusing on selected works from directors working in China, South Korea,  Japan, Taiwan, Hong Kong, and Thailand. The course focuses on post-1997 films,  though it occasionally references earlier films made by the key directors or that  influenced them. By examining a range of genres, styles, and themes, the course  looks at a variety of important East Asian films during this period. Discussions  deal with auteurist styles/themes, industry developments in Asia that affected  the kinds of films produced and distributed, and the cultural values and history  embedded in these films. Some notable directors discussed: Bong Joon-Ho, Park  Chan-Wook, Lee Chang-Dong, Zhang Yimou, Jia Zhangke, Ann Hui, Wong Karwai, Hou  Hsiao-Hsien, Hirokazu Kore-eda, Hayao Miyazaki, and Edward Yang.  ",None,COM FT 250.,4,https://www.bu.edu//academics/com/courses/com-ft-404/
COM FT 411,Screenwriting I,"Developing your first feature-length narrative screenplay; creation of   characters, narrative outline, and scenes. .  Each student will create a  step  outline, develop a treatment and write the first act of a feature- length  screenplay.  First draft screenplay pages will be discussed in class,  and will  be revised for the final project.  Students will be advised to  either work on a  major rewrite of Act One or go deeper into Act Two, while  outlining the  remainder of the story.  Effective Fall 2020, this course  fulfills a single  unit in each of the following BU Hub areas: Writing- Intensive Course,  Creativity/Innovation.", Creativity/Innovation Writing-Intensive Course,COM FT 310.,4,https://www.bu.edu//academics/com/courses/com-ft-411/
COM FT 412,Screenwriting II,"Further study of narrative screenwriting, dramatic structure, and character development. Each student will develop and write a full feature-length screenplay. First draft materials will be discussed in class and will be revised for the final project. ",None,COM FT 411.,4,https://www.bu.edu//academics/com/courses/com-ft-412/
COM FT 417,TV Management,,None,None,4,https://www.bu.edu//academics/com/courses/com-ft-417/
COM FT 425,Creative Producing II,,None,None,4,https://www.bu.edu//academics/com/courses/com-ft-425/
